HOG	OG	Gene Tree Parent Clade	Arachis_hypogaea	Brassica_napus	Capsicum_anuum	Prunus_persica	Solanum_lycopersicum
N3.HOG0000000	OG0000006	n0			CA00g91980, CA00g73670, CA09g15830, CA09g17600, CA00g79010, CA09g16120, CA09g15420, CA09g15860, CA07g00780, CA05g19870, CA09g17690, CA00g86710, CA09g17420, CA07g01040, CA09g17430, CA00g86640, CA07g00990, CA07g01110, CA09g16190, CA06g15490, CA00g73720, CA00g93370, CA00g76480, CA00g94740, CA00g98260, CA09g17400, CA00g86630, CA09g17610, CA07g01130, CA09g13920, CA05g18950, CA00g95380, CA00g86670, CA05g18920, CA00g73900, CA08g01980, CA05g19840, CA05g19830, CA00g75650, CA09g17490, CA09g17390, CA09g17360, CA10g13010, CA00g73740, CA00g77700, CA05g19880, CA09g13900, CA09g16250, CA11g16740, CA09g13940, CA09g15870, CA09g17530, CA00g73620, CA05g18940, CA09g16240, CA09g15940, CA05g19850, CA09g00930, CA09g17650, CA00g73660, CA09g17520, CA07g01120, CA00g73680, CA09g16080, CA09g16200, CA07g01000, CA09g15850, CA00g86600, CA09g17700, CA00g73840, CA09g15880, CA09g16110, CA00g91970, CA00g73830, CA04g06290, CA09g14550, CA07g00830, CA00g86620, CA07g01010, CA05g19860, CA00g73820, CA09g17550, CA00g91990, CA09g16280, CA00g78990, CA09g17350, CA09g16180, CA00g86610, CA00g76340, CA09g00920, CA06g00620, CA07g00900, CA00g73640, CA09g17680, CA09g17540, CA00g76450, CA09g16160, CA09g17460, CA00g73860, CA07g01100, CA00g73850, CA07g00770, CA06g02010, CA09g15400, CA09g17640, CA00g86650, CA07g01020, CA09g17560, CA09g17480, CA09g16310, CA00g92540, CA09g15910, CA07g00880, CA00g92550, CA09g17410, CA09g17570, CA07g00970, CA09g16090, CA09g17500, CA00g86700, CA00g95140, CA07g00910, CA00g73710, CA06g15480, CA04g14510, CA07g21620, CA09g17710, CA09g16320, CA09g14740, CA06g00840, CA07g00860, CA00g73770, CA07g00890, CA00g76390, CA09g15430, CA00g86580, CA09g17620, CA09g15390, CA06g00630, CA07g00820, CA09g17670, CA06g01990, CA07g21640, CA09g14570, CA07g21630, CA05g19820, CA00g75640, CA09g16170, CA00g73650, CA09g15920, CA00g98020, CA09g16130, CA07g00790, CA00g76410, CA09g17470, CA07g00850, CA09g17580, CA06g00850, CA06g01050, CA00g86690, CA00g76380, CA09g16260, CA00g86660, CA07g01030, CA07g00750, CA00g69820, CA00g77710, CA07g00980, CA09g17630, CA09g16210, CA09g13950, CA10g13030, CA00g73780, CA06g02020, CA00g76320, CA00g93380, CA06g00590, CA00g73890, CA09g15930, CA05g18930, CA00g76500, CA09g13960, CA09g16060, CA09g13930, CA00g73730, CA09g16220, CA00g73630, CA09g15890, CA05g18960, CA09g17450, CA05g19890, CA09g16070, CA07g00960, CA00g78960, CA00g78970, CA00g76440, CA00g93700, CA00g73750, CA11g14040, CA09g15820, CA10g13020, CA09g13910, CA12g07820, CA06g15470, CA09g14560, CA00g93720, CA09g17660, CA07g00810, CA00g76530, CA00g76520, CA09g14610, CA09g16270, CA00g76310, CA07g00760, CA00g76370, CA00g76470, CA00g79000, CA00g98980, CA00g76510, CA00g73870, CA00g78980, CA09g16230, CA06g02000, CA00g76400, CA00g86680, CA00g86590		Solyc12T001222.1
N3.HOG0000001	OG0000008	n3			CA04g02200, CA04g04660		
N3.HOG0000002	OG0000008	n5			CA00g66250, CA04g02060		
N3.HOG0000003	OG0000008	n7			CA04g04420, CA04g04850, CA04g04380		
N3.HOG0000004	OG0000008	n10			CA04g04780, CA04g03250, CA04g03110, CA04g03190, CA04g05010, CA04g02300, CA04g02160, CA04g03920, CA00g29490, CA04g02140, CA04g02270, CA09g07960, CA04g04730, CA00g29660, CA04g04640, CA04g03260, CA04g05120, CA04g04370, CA04g03770, CA00g97990, CA04g01400, CA04g03210, CA04g03150, CA04g02350, CA04g04830, CA00g87930, CA00g87970, CA04g00970, CA04g02260, CA04g04610, CA06g02480, CA04g02090		
N3.HOG0000005	OG0000008	n42			CA04g01410, CA04g03270, CA04g04870, CA00g29430, CA00g71680, CA08g13980, CA04g01550, CA04g05040, CA04g04750, CA04g04340, CA04g04360, CA00g87950, CA00g87900, CA04g04800, CA04g03670, CA06g06220, CA02g09900, CA01g08550, CA01g08670		
N3.HOG0000006	OG0000008	n61			CA00g87960, CA00g87910, CA04g01960, CA04g04820, CA04g01930, CA04g06900, CA04g01560		
N3.HOG0000007	OG0000008	n69			CA04g01020, CA04g01390		
N3.HOG0000008	OG0000008	n71			CA04g05000, CA00g29640, CA04g03160, CA04g03730, CA04g04960, CA04g02080, CA04g01350, CA00g29600, CA04g04940, CA00g29620, CA04g04410, CA04g04880, CA04g02120, CA00g70470, CA00g70410, CA04g01910, CA04g01880, CA04g05030, CA04g01950, CA04g03230, CA04g03130, CA04g04590, CA04g03910, CA04g04930, CA00g29500, CA00g70440, CA04g01990, CA04g02170, CA04g03100		Solyc03T000112.2
N3.HOG0000009	OG0000008	n100			CA04g05070, CA04g01470, CA00g71660, CA04g05100, CA04g03660, CA00g71650, CA12g06480, CA09g01260, CA10g11340, CA02g13740, CA04g04350, CA08g13960, CA04g03960, CA04g01040, CA00g29610, CA04g03180, CA04g03290, CA04g01520, CA08g13930, CA04g04540, CA00g29650, CA04g00920, CA00g71670, CA04g03870, CA04g05620, CA04g02040, CA07g01720, CA04g04720, CA04g03220, CA04g02220, CA00g29470, CA04g01850, CA00g29550, CA00g66240, CA00g29410, CA04g05060, CA00g29510, CA00g29460, CA00g71700, CA04g05080, CA04g04460, CA04g01510, CA04g00940, CA00g70430, CA04g01030, CA04g01420, CA04g01540, CA04g02050, CA04g03880, CA04g01450, CA04g04390, CA00g71630, CA04g01590, CA04g05130, CA04g02310, CA00g66210, CA00g71620, CA04g04430, CA04g01440, CA04g02190, CA04g02100, CA04g00950, CA04g03090, CA04g04320, CA00g29530, CA04g04990, CA04g04910		Solyc03T000104.1
